names,owner,private,fork,archived,created_at,fork_count,open_issues,stargazers_count,watchers_count,stars_url,contributors_url,commits_url,downloaded_at
irods-legacy,irods,FALSE,FALSE,TRUE,2012-06-07T19:26:59Z,14,0,16,16,https://api.github.com/repos/irods/irods-legacy/stargazers,https://api.github.com/repos/irods/irods-legacy/contributors,https://api.github.com/repos/irods/irods-legacy/commits,"05 June, 2023"
votingbooth,irods,FALSE,FALSE,FALSE,2013-09-03T18:51:20Z,0,3,2,2,https://api.github.com/repos/irods/votingbooth/stargazers,https://api.github.com/repos/irods/votingbooth/contributors,https://api.github.com/repos/irods/votingbooth/commits,"05 June, 2023"
contrib,irods,FALSE,FALSE,FALSE,2013-10-04T01:37:03Z,20,14,13,13,https://api.github.com/repos/irods/contrib/stargazers,https://api.github.com/repos/irods/contrib/contributors,https://api.github.com/repos/irods/contrib/commits,"05 June, 2023"
irods,irods,FALSE,FALSE,FALSE,2013-11-26T18:10:18Z,135,1016,407,407,https://api.github.com/repos/irods/irods/stargazers,https://api.github.com/repos/irods/irods/contributors,https://api.github.com/repos/irods/irods/commits,"05 June, 2023"
libs3_original,irods,FALSE,FALSE,FALSE,2013-12-19T17:18:52Z,1,0,0,0,https://api.github.com/repos/irods/libs3_original/stargazers,https://api.github.com/repos/irods/libs3_original/contributors,https://api.github.com/repos/irods/libs3_original/commits,"05 June, 2023"
irods_resource_plugin_s3,irods,FALSE,FALSE,FALSE,2013-12-19T19:32:03Z,14,40,12,12,https://api.github.com/repos/irods/irods_resource_plugin_s3/stargazers,https://api.github.com/repos/irods/irods_resource_plugin_s3/contributors,https://api.github.com/repos/irods/irods_resource_plugin_s3/commits,"05 June, 2023"
irods_resource_plugin_hdfs,irods,FALSE,FALSE,FALSE,2013-12-20T14:10:25Z,0,1,0,0,https://api.github.com/repos/irods/irods_resource_plugin_hdfs/stargazers,https://api.github.com/repos/irods/irods_resource_plugin_hdfs/contributors,https://api.github.com/repos/irods/irods_resource_plugin_hdfs/commits,"05 June, 2023"
irods_resource_plugin_wos,irods,FALSE,FALSE,FALSE,2013-12-20T14:10:45Z,1,15,1,1,https://api.github.com/repos/irods/irods_resource_plugin_wos/stargazers,https://api.github.com/repos/irods/irods_resource_plugin_wos/contributors,https://api.github.com/repos/irods/irods_resource_plugin_wos/commits,"05 June, 2023"
irods_resource_plugin_directaccess,irods,FALSE,FALSE,FALSE,2014-01-07T17:33:17Z,1,1,0,0,https://api.github.com/repos/irods/irods_resource_plugin_directaccess/stargazers,https://api.github.com/repos/irods/irods_resource_plugin_directaccess/contributors,https://api.github.com/repos/irods/irods_resource_plugin_directaccess/commits,"05 June, 2023"
guinan,irods,FALSE,FALSE,FALSE,2014-01-28T14:07:01Z,0,7,0,0,https://api.github.com/repos/irods/guinan/stargazers,https://api.github.com/repos/irods/guinan/contributors,https://api.github.com/repos/irods/guinan/commits,"05 June, 2023"
